IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D
esm2_t36_3B_UR50D_idx277,0,1,0
esm2_t36_3B_UR50D_idx278,0,1,0
esm2_t36_3B_UR50D_idx279,0,1,0
esm2_t36_3B_UR50D_idx280,0,1,0
esm2_t36_3B_UR50D_idx281,0,1,0
esm2_t36_3B_UR50D_idx282,0,1,0
esm2_t36_3B_UR50D_idx283,0,1,0
esm2_t36_3B_UR50D_idx284,0,1,0
esm2_t36_3B_UR50D_idx285,0,1,0
esm2_t36_3B_UR50D_idx286,0,1,0
esm2_t36_3B_UR50D_idx287,0,1,0
esm2_t36_3B_UR50D_idx288,0,1,0
esm2_t36_3B_UR50D_idx289,0,1,0
esm2_t36_3B_UR50D_idx290,0,1,0
esm2_t36_3B_UR50D_idx291,0,1,0
esm2_t36_3B_UR50D_idx292,0,1,0
esm2_t36_3B_UR50D_idx293,0,1,0
esm2_t36_3B_UR50D_idx294,0,1,0
esm2_t36_3B_UR50D_idx295,0,1,0
esm2_t36_3B_UR50D_idx296,0,1,0
esm2_t36_3B_UR50D_idx297,0,1,0
esm2_t36_3B_UR50D_idx298,0,1,0
esm2_t36_3B_UR50D_idx299,0,1,0
esm2_t36_3B_UR50D_idx300,0,1,0
esm2_t36_3B_UR50D_idx301,0,1,0
esm2_t36_3B_UR50D_idx302,0,1,0
esm2_t36_3B_UR50D_idx303,0,1,0
esm2_t36_3B_UR50D_idx304,0,1,0
esm2_t36_3B_UR50D_idx305,0,1,0
esm2_t36_3B_UR50D_idx306,0,1,0
esm2_t36_3B_UR50D_idx307,0,1,0
esm2_t36_3B_UR50D_idx308,0,1,0
esm2_t36_3B_UR50D_idx309,0,1,0
esm2_t36_3B_UR50D_idx310,0,1,0
esm2_t36_3B_UR50D_idx311,0,1,0
esm2_t36_3B_UR50D_idx312,0,1,0
esm2_t36_3B_UR50D_idx313,0,1,0
esm2_t36_3B_UR50D_idx314,0,1,0
esm2_t36_3B_UR50D_idx315,0,1,0
esm2_t36_3B_UR50D_idx316,0,1,0
esm2_t36_3B_UR50D_idx317,0,1,0
esm2_t36_3B_UR50D_idx318,0,1,0
esm2_t36_3B_UR50D_idx319,0,1,0
esm2_t36_3B_UR50D_idx320,0,1,0
esm2_t36_3B_UR50D_idx321,0,1,0
esm2_t36_3B_UR50D_idx322,0,1,0
esm2_t36_3B_UR50D_idx323,0,1,0
esm2_t36_3B_UR50D_idx324,0,1,0
esm2_t36_3B_UR50D_idx325,0,1,0
esm2_t36_3B_UR50D_idx326,0,1,0
esm2_t36_3B_UR50D_idx327,0,1,0
esm2_t36_3B_UR50D_idx328,0,1,0
esm2_t36_3B_UR50D_idx329,0,1,0
esm2_t36_3B_UR50D_idx330,0,1,0
esm2_t36_3B_UR50D_idx331,0,1,0
esm2_t36_3B_UR50D_idx332,0,1,0
esm2_t36_3B_UR50D_idx333,0,1,0
esm2_t36_3B_UR50D_idx334,0,1,0
esm2_t36_3B_UR50D_idx335,0,1,0
esm2_t36_3B_UR50D_idx336,0,1,0
esm2_t36_3B_UR50D_idx337,0,1,0
esm2_t36_3B_UR50D_idx338,0,1,0
esm2_t36_3B_UR50D_idx339,0,1,0
esm2_t36_3B_UR50D_idx340,0,1,0
esm2_t36_3B_UR50D_idx341,0,1,0
esm2_t36_3B_UR50D_idx342,0,1,0
esm2_t36_3B_UR50D_idx343,0,1,0
esm2_t36_3B_UR50D_idx344,0,1,0
esm2_t36_3B_UR50D_idx345,0,1,0
esm2_t36_3B_UR50D_idx346,0,1,0
esm2_t36_3B_UR50D_idx347,0,1,0
esm2_t36_3B_UR50D_idx348,0,1,0
esm2_t36_3B_UR50D_idx349,0,1,0
esm2_t36_3B_UR50D_idx350,0,1,0
esm2_t36_3B_UR50D_idx351,0,1,0
esm2_t36_3B_UR50D_idx352,0,1,0
esm2_t36_3B_UR50D_idx353,0,1,0
esm2_t36_3B_UR50D_idx354,0,1,0
esm2_t36_3B_UR50D_idx355,0,1,0
esm2_t36_3B_UR50D_idx356,0,1,0
esm2_t36_3B_UR50D_idx357,0,1,0
esm2_t36_3B_UR50D_idx358,0,1,0
esm2_t36_3B_UR50D_idx359,0,1,0
esm2_t36_3B_UR50D_idx360,0,1,0
esm2_t36_3B_UR50D_idx361,0,1,0
esm2_t36_3B_UR50D_idx362,0,1,0
esm2_t36_3B_UR50D_idx363,0,1,0
esm2_t36_3B_UR50D_idx364,0,1,0
esm2_t36_3B_UR50D_idx365,0,1,0
esm2_t36_3B_UR50D_idx366,0,1,0
esm2_t36_3B_UR50D_idx367,0,1,0
esm2_t36_3B_UR50D_idx368,0,1,0
esm2_t36_3B_UR50D_idx369,0,1,0
esm2_t36_3B_UR50D_idx370,0,1,0
esm2_t36_3B_UR50D_idx371,0,1,0
esm2_t36_3B_UR50D_idx372,0,1,0
esm2_t36_3B_UR50D_idx373,0,1,0
esm2_t36_3B_UR50D_idx374,0,1,0
esm2_t36_3B_UR50D_idx375,0,1,0
esm2_t36_3B_UR50D_idx376,0,1,0
esm2_t36_3B_UR50D_idx377,0,1,0
esm2_t36_3B_UR50D_idx378,0,1,0
esm2_t36_3B_UR50D_idx379,0,1,0
esm2_t36_3B_UR50D_idx380,0,1,0
esm2_t36_3B_UR50D_idx381,0,1,0
esm2_t36_3B_UR50D_idx382,0,1,0
esm2_t36_3B_UR50D_idx383,0,1,0
esm2_t36_3B_UR50D_idx384,0,1,0
esm2_t36_3B_UR50D_idx385,0,1,0
esm2_t36_3B_UR50D_idx386,0,1,0
esm2_t36_3B_UR50D_idx387,0,1,0
esm2_t36_3B_UR50D_idx388,0,1,0
esm2_t36_3B_UR50D_idx389,0,1,0
esm2_t36_3B_UR50D_idx390,0,1,0
esm2_t36_3B_UR50D_idx391,0,1,0
esm2_t36_3B_UR50D_idx392,0,1,0
esm2_t36_3B_UR50D_idx393,0,1,0
esm2_t36_3B_UR50D_idx394,0,1,0
esm2_t36_3B_UR50D_idx395,0,1,0
esm2_t36_3B_UR50D_idx396,0,1,0
esm2_t36_3B_UR50D_idx397,0,1,0
esm2_t36_3B_UR50D_idx398,0,1,0
esm2_t36_3B_UR50D_idx399,0,1,0
esm2_t36_3B_UR50D_idx400,0,1,0
esm2_t36_3B_UR50D_idx401,0,1,0
esm2_t36_3B_UR50D_idx402,0,1,0
esm2_t36_3B_UR50D_idx403,0,1,0
esm2_t36_3B_UR50D_idx404,0,1,0
esm2_t36_3B_UR50D_idx405,0,1,0
esm2_t36_3B_UR50D_idx406,0,1,0
esm2_t36_3B_UR50D_idx407,0,1,0
esm2_t36_3B_UR50D_idx408,0,1,0
esm2_t36_3B_UR50D_idx409,0,1,0
esm2_t36_3B_UR50D_idx410,0,1,0
esm2_t36_3B_UR50D_idx411,0,1,0
esm2_t36_3B_UR50D_idx412,0,1,0
esm2_t36_3B_UR50D_idx413,0,1,0
esm2_t36_3B_UR50D_idx414,0,1,0
esm2_t36_3B_UR50D_idx415,0,1,0
esm2_t36_3B_UR50D_idx416,0,1,0
esm2_t36_3B_UR50D_idx417,0,1,0
esm2_t36_3B_UR50D_idx418,0,1,0
esm2_t36_3B_UR50D_idx419,0,1,0
esm2_t36_3B_UR50D_idx420,0,1,0
esm2_t36_3B_UR50D_idx421,0,1,0
esm2_t36_3B_UR50D_idx422,0,1,0
esm2_t36_3B_UR50D_idx423,0,1,0
esm2_t36_3B_UR50D_idx424,0,1,0
esm2_t36_3B_UR50D_idx425,0,1,0
esm2_t36_3B_UR50D_idx426,0,1,0
esm2_t36_3B_UR50D_idx427,0,1,0
esm2_t36_3B_UR50D_idx428,0,1,0
esm2_t36_3B_UR50D_idx429,0,1,0
esm2_t36_3B_UR50D_idx430,0,1,0
esm2_t36_3B_UR50D_idx431,0,1,0
esm2_t36_3B_UR50D_idx432,0,1,0
esm2_t36_3B_UR50D_idx433,0,1,0
esm2_t36_3B_UR50D_idx434,0,1,0
esm2_t36_3B_UR50D_idx435,0,1,0
esm2_t36_3B_UR50D_idx436,0,1,0
esm2_t36_3B_UR50D_idx437,0,1,0
esm2_t36_3B_UR50D_idx438,0,1,0
esm2_t36_3B_UR50D_idx439,0,1,0
esm2_t36_3B_UR50D_idx440,0,1,0
