,IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D,Subtypes
185,esm2_t36_3B_UR50D_idx185,0,1,0,esm2_t36_3B_UR50D
186,esm2_t36_3B_UR50D_idx186,0,1,0,esm2_t36_3B_UR50D
187,esm2_t36_3B_UR50D_idx187,0,1,0,esm2_t36_3B_UR50D
188,esm2_t36_3B_UR50D_idx188,0,1,0,esm2_t36_3B_UR50D
189,esm2_t36_3B_UR50D_idx189,0,1,0,esm2_t36_3B_UR50D
190,esm2_t36_3B_UR50D_idx190,0,1,0,esm2_t36_3B_UR50D
191,esm2_t36_3B_UR50D_idx191,0,1,0,esm2_t36_3B_UR50D
192,esm2_t36_3B_UR50D_idx192,0,1,0,esm2_t36_3B_UR50D
193,esm2_t36_3B_UR50D_idx193,0,1,0,esm2_t36_3B_UR50D
194,esm2_t36_3B_UR50D_idx194,0,1,0,esm2_t36_3B_UR50D
195,esm2_t36_3B_UR50D_idx195,0,1,0,esm2_t36_3B_UR50D
196,esm2_t36_3B_UR50D_idx196,0,1,0,esm2_t36_3B_UR50D
197,esm2_t36_3B_UR50D_idx197,0,1,0,esm2_t36_3B_UR50D
198,esm2_t36_3B_UR50D_idx198,0,1,0,esm2_t36_3B_UR50D
199,esm2_t36_3B_UR50D_idx199,0,1,0,esm2_t36_3B_UR50D
200,esm2_t36_3B_UR50D_idx200,0,1,0,esm2_t36_3B_UR50D
201,esm2_t36_3B_UR50D_idx201,0,1,0,esm2_t36_3B_UR50D
202,esm2_t36_3B_UR50D_idx202,0,1,0,esm2_t36_3B_UR50D
203,esm2_t36_3B_UR50D_idx203,0,1,0,esm2_t36_3B_UR50D
204,esm2_t36_3B_UR50D_idx204,0,1,0,esm2_t36_3B_UR50D
205,esm2_t36_3B_UR50D_idx205,0,1,0,esm2_t36_3B_UR50D
206,esm2_t36_3B_UR50D_idx206,0,1,0,esm2_t36_3B_UR50D
207,esm2_t36_3B_UR50D_idx207,0,1,0,esm2_t36_3B_UR50D
208,esm2_t36_3B_UR50D_idx208,0,1,0,esm2_t36_3B_UR50D
209,esm2_t36_3B_UR50D_idx209,0,1,0,esm2_t36_3B_UR50D
210,esm2_t36_3B_UR50D_idx210,0,1,0,esm2_t36_3B_UR50D
211,esm2_t36_3B_UR50D_idx211,0,1,0,esm2_t36_3B_UR50D
212,esm2_t36_3B_UR50D_idx212,0,1,0,esm2_t36_3B_UR50D
213,esm2_t36_3B_UR50D_idx213,0,1,0,esm2_t36_3B_UR50D
214,esm2_t36_3B_UR50D_idx214,0,1,0,esm2_t36_3B_UR50D
215,esm2_t36_3B_UR50D_idx215,0,1,0,esm2_t36_3B_UR50D
216,esm2_t36_3B_UR50D_idx216,0,1,0,esm2_t36_3B_UR50D
217,esm2_t36_3B_UR50D_idx217,0,1,0,esm2_t36_3B_UR50D
218,esm2_t36_3B_UR50D_idx218,0,1,0,esm2_t36_3B_UR50D
219,esm2_t36_3B_UR50D_idx219,0,1,0,esm2_t36_3B_UR50D
220,esm2_t36_3B_UR50D_idx220,0,1,0,esm2_t36_3B_UR50D
221,esm2_t36_3B_UR50D_idx221,0,1,0,esm2_t36_3B_UR50D
222,esm2_t36_3B_UR50D_idx222,0,1,0,esm2_t36_3B_UR50D
223,esm2_t36_3B_UR50D_idx223,0,1,0,esm2_t36_3B_UR50D
224,esm2_t36_3B_UR50D_idx224,0,1,0,esm2_t36_3B_UR50D
225,esm2_t36_3B_UR50D_idx225,0,1,0,esm2_t36_3B_UR50D
226,esm2_t36_3B_UR50D_idx226,0,1,0,esm2_t36_3B_UR50D
227,esm2_t36_3B_UR50D_idx227,0,1,0,esm2_t36_3B_UR50D
228,esm2_t36_3B_UR50D_idx228,0,1,0,esm2_t36_3B_UR50D
229,esm2_t36_3B_UR50D_idx229,0,1,0,esm2_t36_3B_UR50D
230,esm2_t36_3B_UR50D_idx230,0,1,0,esm2_t36_3B_UR50D
231,esm2_t36_3B_UR50D_idx231,0,1,0,esm2_t36_3B_UR50D
232,esm2_t36_3B_UR50D_idx232,0,1,0,esm2_t36_3B_UR50D
233,esm2_t36_3B_UR50D_idx233,0,1,0,esm2_t36_3B_UR50D
234,esm2_t36_3B_UR50D_idx234,0,1,0,esm2_t36_3B_UR50D
235,esm2_t36_3B_UR50D_idx235,0,1,0,esm2_t36_3B_UR50D
236,esm2_t36_3B_UR50D_idx236,0,1,0,esm2_t36_3B_UR50D
237,esm2_t36_3B_UR50D_idx237,0,1,0,esm2_t36_3B_UR50D
238,esm2_t36_3B_UR50D_idx238,0,1,0,esm2_t36_3B_UR50D
239,esm2_t36_3B_UR50D_idx239,0,1,0,esm2_t36_3B_UR50D
240,esm2_t36_3B_UR50D_idx240,0,1,0,esm2_t36_3B_UR50D
241,esm2_t36_3B_UR50D_idx241,0,1,0,esm2_t36_3B_UR50D
242,esm2_t36_3B_UR50D_idx242,0,1,0,esm2_t36_3B_UR50D
243,esm2_t36_3B_UR50D_idx243,0,1,0,esm2_t36_3B_UR50D
244,esm2_t36_3B_UR50D_idx244,0,1,0,esm2_t36_3B_UR50D
245,esm2_t36_3B_UR50D_idx245,0,1,0,esm2_t36_3B_UR50D
246,esm2_t36_3B_UR50D_idx246,0,1,0,esm2_t36_3B_UR50D
247,esm2_t36_3B_UR50D_idx247,0,1,0,esm2_t36_3B_UR50D
248,esm2_t36_3B_UR50D_idx248,0,1,0,esm2_t36_3B_UR50D
249,esm2_t36_3B_UR50D_idx249,0,1,0,esm2_t36_3B_UR50D
250,esm2_t36_3B_UR50D_idx250,0,1,0,esm2_t36_3B_UR50D
251,esm2_t36_3B_UR50D_idx251,0,1,0,esm2_t36_3B_UR50D
252,esm2_t36_3B_UR50D_idx252,0,1,0,esm2_t36_3B_UR50D
253,esm2_t36_3B_UR50D_idx253,0,1,0,esm2_t36_3B_UR50D
254,esm2_t36_3B_UR50D_idx254,0,1,0,esm2_t36_3B_UR50D
255,esm2_t36_3B_UR50D_idx255,0,1,0,esm2_t36_3B_UR50D
256,esm2_t36_3B_UR50D_idx256,0,1,0,esm2_t36_3B_UR50D
257,esm2_t36_3B_UR50D_idx257,0,1,0,esm2_t36_3B_UR50D
258,esm2_t36_3B_UR50D_idx258,0,1,0,esm2_t36_3B_UR50D
259,esm2_t36_3B_UR50D_idx259,0,1,0,esm2_t36_3B_UR50D
260,esm2_t36_3B_UR50D_idx260,0,1,0,esm2_t36_3B_UR50D
261,esm2_t36_3B_UR50D_idx261,0,1,0,esm2_t36_3B_UR50D
262,esm2_t36_3B_UR50D_idx262,0,1,0,esm2_t36_3B_UR50D
263,esm2_t36_3B_UR50D_idx263,0,1,0,esm2_t36_3B_UR50D
264,esm2_t36_3B_UR50D_idx264,0,1,0,esm2_t36_3B_UR50D
265,esm2_t36_3B_UR50D_idx265,0,1,0,esm2_t36_3B_UR50D
266,esm2_t36_3B_UR50D_idx266,0,1,0,esm2_t36_3B_UR50D
267,esm2_t36_3B_UR50D_idx267,0,1,0,esm2_t36_3B_UR50D
268,esm2_t36_3B_UR50D_idx268,0,1,0,esm2_t36_3B_UR50D
269,esm2_t36_3B_UR50D_idx269,0,1,0,esm2_t36_3B_UR50D
270,esm2_t36_3B_UR50D_idx270,0,1,0,esm2_t36_3B_UR50D
271,esm2_t36_3B_UR50D_idx271,0,1,0,esm2_t36_3B_UR50D
272,esm2_t36_3B_UR50D_idx272,0,1,0,esm2_t36_3B_UR50D
273,esm2_t36_3B_UR50D_idx273,0,1,0,esm2_t36_3B_UR50D
274,esm2_t36_3B_UR50D_idx274,0,1,0,esm2_t36_3B_UR50D
275,esm2_t36_3B_UR50D_idx275,0,1,0,esm2_t36_3B_UR50D
276,esm2_t36_3B_UR50D_idx276,0,1,0,esm2_t36_3B_UR50D
277,esm2_t36_3B_UR50D_idx277,0,1,0,esm2_t36_3B_UR50D
278,esm2_t36_3B_UR50D_idx278,0,1,0,esm2_t36_3B_UR50D
279,esm2_t36_3B_UR50D_idx279,0,1,0,esm2_t36_3B_UR50D
280,esm2_t36_3B_UR50D_idx280,0,1,0,esm2_t36_3B_UR50D
281,esm2_t36_3B_UR50D_idx281,0,1,0,esm2_t36_3B_UR50D
282,esm2_t36_3B_UR50D_idx282,0,1,0,esm2_t36_3B_UR50D
283,esm2_t36_3B_UR50D_idx283,0,1,0,esm2_t36_3B_UR50D
284,esm2_t36_3B_UR50D_idx284,0,1,0,esm2_t36_3B_UR50D
285,esm2_t36_3B_UR50D_idx285,0,1,0,esm2_t36_3B_UR50D
286,esm2_t36_3B_UR50D_idx286,0,1,0,esm2_t36_3B_UR50D
287,esm2_t36_3B_UR50D_idx287,0,1,0,esm2_t36_3B_UR50D
288,esm2_t36_3B_UR50D_idx288,0,1,0,esm2_t36_3B_UR50D
289,esm2_t36_3B_UR50D_idx289,0,1,0,esm2_t36_3B_UR50D
290,esm2_t36_3B_UR50D_idx290,0,1,0,esm2_t36_3B_UR50D
291,esm2_t36_3B_UR50D_idx291,0,1,0,esm2_t36_3B_UR50D
292,esm2_t36_3B_UR50D_idx292,0,1,0,esm2_t36_3B_UR50D
293,esm2_t36_3B_UR50D_idx293,0,1,0,esm2_t36_3B_UR50D
